Carat,Colour,Clarity,Cut,Certification,Polish,Symmetry,Price,Wholesaler
0.92,3,5,3,AGS,4,4,3000,1
0.92,3,5,4,AGS,3,3,3000,1
0.82,4,5,6,GIA,5,5,3004,1
0.81,3,6,6,GIA,5,4,3004,1
0.9,2,7,4,GIA,4,4,3006,1
0.87,4,5,6,AGS,3,4,3007,1
0.8,4,5,6,GIA,4,4,3008,1
0.84,4,6,3,GIA,4,4,3010,1
0.8,4,5,4,GIA,4,4,3012,1
0.8,4,5,4,GIA,4,5,3012,1
0.85,3,5,6,GIA,4,4,3014,1
0.83,3,5,6,GIA,5,5,3014,1
0.82,3,8,3,AGS,3,4,3015,1
0.82,3,6,6,GIA,5,5,3015,1
0.8,4,6,4,GIA,4,4,3022,1
0.91,2,6,4,GIA,4,4,3023,1
0.81,4,6,4,AGS,4,4,3027,1
0.9,3,6,4,GIA,5,4,3028,1
0.81,4,5,6,GIA,4,5,3029,1
0.81,4,5,6,GIA,5,5,3029,1
0.81,4,5,6,GIA,3,3,3031,1
0.8,3,8,6,AGS,6,6,3031,1
0.8,3,8,6,AGS,6,6,3031,1
0.8,3,6,6,GIA,5,4,3035,1
0.81,3,6,4,GIA,3,4,3036,1
0.91,3,5,3,GIA,4,3,3038,1
0.83,4,5,3,GIA,3,3,3041,1
0.83,3,7,4,GIA,3,3,3041,1
0.88,3,6,6,AGS,6,6,3042,1
0.9,3,5,2,GIA,4,4,3043,1
0.9,3,5,4,GIA,4,3,3043,1
0.9,3,5,2,GIA,3,4,3043,1
0.91,3,5,6,GIA,4,4,3044,1
0.81,4,5,4,GIA,3,3,3044,1
0.81,4,6,4,GIA,5,5,3049,1
0.85,4,5,6,GIA,4,5,3051,1
0.85,4,5,4,AGS,3,3,3051,1
0.81,4,5,4,GIA,4,3,3051,1
0.81,3,8,6,AGS,6,6,3053,1
0.8,4,6,4,GIA,3,3,3053,1
0.9,3,5,2,GIA,4,3,3056,1
0.81,3,8,3,GIA,3,3,3057,1
0.8,3,8,4,GIA,4,4,3059,1
0.8,4,5,4,GIA,4,4,3062,1
0.9,2,7,3,AGS,5,5,3064,1
0.8,4,5,4,GIA,4,3,3064,1
0.8,3,8,6,GIA,5,4,3067,1
0.9,3,5,3,GIA,4,4,3069,1
0.9,3,5,4,GIA,4,4,3069,1
0.8,4,5,4,GIA,5,4,3071,1
0.82,3,6,4,GIA,3,3,3072,1
0.81,3,5,6,GIA,4,4,3079,1
0.81,4,6,4,GIA,5,5,3079,1
0.8,3,7,6,AGS,6,6,3080,1
0.9,4,5,2,GIA,4,3,3081,1
0.9,3,6,3,GIA,4,3,3081,1
0.82,3,7,6,GIA,5,5,3085,1
0.8,3,6,4,GIA,4,4,3086,1
0.91,3,5,2,GIA,4,4,3089,1
0.92,2,6,4,GIA,4,4,3091,1
1,1,4,2,EGL,2,2,1856,2
1.06,1,4,2,EGL,3,3,1892,2
1,2,2,2,GIA,4,4,1918,2
