"","Carat","Colour","Clarity","Cut","Certification","Polish","Symmetry","Price","Wholesaler"
"1",0.92,"3-I","5-SI2","3-G","AGS","4-V","4-V",3000,1
"2",0.92,"3-I","5-SI2","4-V","AGS","3-G","3-G",3000,1
"3",0.82,"4-F","5-SI2","6-I","GIA","5-X","5-X",3004,1
"4",0.81,"3-G","6-SI1","6-I","GIA","5-X","4-V",3004,1
"5",0.9,"2-J","7-VS2","4-V","GIA","4-V","4-V",3006,1
"6",0.87,"4-F","5-SI2","6-I","AGS","3-G","4-V",3007,1
"7",0.8,"4-D","5-SI2","6-I","GIA","4-V","4-V",3008,1
"8",0.84,"4-F","6-SI1","3-G","GIA","4-V","4-V",3010,1
"9",0.8,"4-D","5-SI2","4-V","GIA","4-V","4-V",3012,1
"10",0.8,"4-D","5-SI2","4-V","GIA","4-V","5-X",3012,1
"11",0.85,"3-G","5-SI2","6-I","GIA","4-V","4-V",3014,1
"12",0.83,"3-G","5-SI2","6-I","GIA","5-X","5-X",3014,1
"13",0.82,"3-H","8-VS1","3-G","AGS","3-G","4-V",3015,1
"14",0.82,"3-G","6-SI1","6-I","GIA","5-X","5-X",3015,1
"15",0.8,"4-F","6-SI1","4-V","GIA","4-V","4-V",3022,1
"16",0.91,"2-J","6-SI1","4-V","GIA","4-V","4-V",3023,1
"17",0.81,"4-F","6-SI1","4-V","AGS","4-V","4-V",3027,1
"18",0.9,"3-I","6-SI1","4-V","GIA","5-X","4-V",3028,1
"19",0.81,"4-E","5-SI2","6-I","GIA","4-V","5-X",3029,1
"20",0.81,"4-E","5-SI2","6-I","GIA","5-X","5-X",3029,1
"21",0.81,"4-E","5-SI2","6-I","GIA","3-G","3-G",3031,1
"22",0.8,"3-I","8-VS1","6-I","AGS","6-I","6-I",3031,1
"23",0.8,"3-I","8-VS1","6-I","AGS","6-I","6-I",3031,1
"24",0.8,"3-G","6-SI1","6-I","GIA","5-X","4-V",3035,1
"25",0.81,"3-H","6-SI1","4-V","GIA","3-G","4-V",3036,1
"26",0.91,"3-H","5-SI2","3-G","GIA","4-V","3-G",3038,1
"27",0.83,"4-D","5-SI2","3-G","GIA","3-G","3-G",3041,1
"28",0.83,"3-I","7-VS2","4-V","GIA","3-G","3-G",3041,1
"29",0.88,"3-I","6-SI1","6-I","AGS","6-I","6-I",3042,1
"30",0.9,"3-G","5-SI2","2-F","GIA","4-V","4-V",3043,1
"31",0.9,"3-H","5-SI2","4-V","GIA","4-V","3-G",3043,1
"32",0.9,"3-G","5-SI2","2-F","GIA","3-G","4-V",3043,1
"33",0.91,"3-I","5-SI2","6-I","GIA","4-V","4-V",3044,1
"34",0.81,"4-D","5-SI2","4-V","GIA","3-G","3-G",3044,1
"35",0.81,"4-F","6-SI1","4-V","GIA","5-X","5-X",3049,1
"36",0.85,"4-E","5-SI2","6-I","GIA","4-V","5-X",3051,1
"37",0.85,"4-F","5-SI2","4-V","AGS","3-G","3-G",3051,1
"38",0.81,"4-E","5-SI2","4-V","GIA","4-V","3-G",3051,1
"39",0.81,"3-I","8-VS1","6-I","AGS","6-I","6-I",3053,1
"40",0.8,"4-F","6-SI1","4-V","GIA","3-G","3-G",3053,1
"41",0.9,"3-H","5-SI2","2-F","GIA","4-V","3-G",3056,1
"42",0.81,"3-I","8-VS1","3-G","GIA","3-G","3-G",3057,1
"43",0.8,"3-H","8-VS1","4-V","GIA","4-V","4-V",3059,1
"44",0.8,"4-E","5-SI2","4-V","GIA","4-V","4-V",3062,1
"45",0.9,"2-J","7-VS2","3-G","AGS","5-X","5-X",3064,1
"46",0.8,"4-E","5-SI2","4-V","GIA","4-V","3-G",3064,1
"47",0.8,"3-I","8-VS1","6-I","GIA","5-X","4-V",3067,1
"48",0.9,"3-I","5-SI2","3-G","GIA","4-V","4-V",3069,1
"49",0.9,"3-I","5-SI2","4-V","GIA","4-V","4-V",3069,1
"50",0.8,"4-E","5-SI2","4-V","GIA","5-X","4-V",3071,1
"51",0.82,"3-H","6-SI1","4-V","GIA","3-G","3-G",3072,1
"52",0.81,"3-G","5-SI2","6-I","GIA","4-V","4-V",3079,1
"53",0.81,"4-E","6-SI1","4-V","GIA","5-X","5-X",3079,1
"54",0.8,"3-H","7-VS2","6-I","AGS","6-I","6-I",3080,1
"55",0.9,"4-F","5-SI2","2-F","GIA","v","3-G",3081,1
"56",0.9,"3-I","6-SI1","3-G","GIA","4-V","3-G",3081,1
"57",0.82,"3-I","7-VS2","6-I","GIA","5-X","5-X",3085,1
"58",0.8,"3-H","6-SI1","4-V","GIA","4-V","4-V",3086,1
"59",0.91,"3-H","5-SI2","2-F","GIA","4-V","4-V",3089,1
"60",0.92,"2-J","6-SI1","4-V","GIA","4-V","4-V",3091,1
"61",1,"1-L","4-SI3","2-F","EGL","2-F","2-F",1856,2
"62",1.06,"1-L","4-SI3","2-F","EGL","3-G","3-G",1892,2
"63",1,"2-K","2-I2","2-F","GIA","4-V","4-V",1918,2
"64",1.01,"3-G","2-I2","2-F","GIA","3-G","4-V",1929,2
"65",1.04,"2-J","3-I1","3-G","EGL","3-G","3-G",1966,2
"66",1.05,"2-J","3-I1","3-G","EGL","4-V","3-G",1985,2
"67",1.23,"3-I","2-I2","3-G","GIA","3-G","2-F",1988,2
"68",1.18,"3-H","2-I2","2-F","DOW","3-G","2-F",2031,2
"69",1.02,"3-I","2-I2","5-X","GIA","3-G","3-G",2035,2
"70",1,"3-I","2-I2","2-F","GIA","3-G","4-V",2045,2
"71",1,"1-L","3-I1","5-X","GIA","5-X","3-G",2049,2
"72",1.05,"3-H","2-I2","5-X","GIA","4-V","4-V",2065,2
"73",1,"3-G","3-I1","2-F","EGL","3-G","2-F",2070,2
"74",1.02,"2-J","3-I1","2-F","EGL","3-G","3-G",2100,2
"75",1,"3-H","4-SI3","2-F","EGL","2-F","2-F",2101,2
"76",1,"4-F","3-I1","6-I","EGL","3-G","3-G",2128,2
"77",1.01,"4-F","3-I1","5-X","EGL","3-G","3-G",2149,2
"78",1.01,"1-L","4-SI3","6-I","EGL","3-G","3-G",2156,2
"79",1.04,"4-F","2-I2","5-X","GIA","3-G","3-G",2162,2
"80",1,"3-H","3-I1","2-F","EGL","3-G","2-F",2168,2
"81",1,"3-I","3-I1","2-F","EGL","3-G","3-G",2170,2
"82",1.01,"3-I","3-I1","2-F","EGL","3-G","3-G",2192,2
"83",1.01,"3-I","3-I1","2-F","EGL","3-G","2-F",2192,2
"84",1.1,"3-I","2-I2","6-I","GIA","4-V","2-F",2195,2
"85",1.02,"3-I","3-I1","2-F","EGL","3-G","2-F",2213,2
"86",1,"2-K","3-I1","5-X","GIA","4-V","3-G",2226,2
"87",1,"2-J","3-I1","2-F","EGL","3-G","3-G",2228,2
"88",1,"4-E","3-I1","3-G","EGL","3-G","3-G",2243,2
"89",1.01,"4-E","2-I2","3-G","EGL","4-V","3-G",2252,2
"90",1.21,"1-L","2-I2","5-X","GIA","3-G","3-G",2263,2
"91",1,"2-K","4-SI3","5-X","EGL","3-G","4-V",2288,2
"92",1.16,"3-I","3-I1","2-F","EGL","3-G","3-G",2292,2
"93",1.17,"3-H","2-I2","5-X","GIA","4-V","4-V",2301,2
"94",1,"4-F","3-I1","2-F","EGL","4-V","3-G",2306,2
"95",1.04,"2-K","3-I1","5-X","EGL","4-V","4-V",2308,2
"96",1,"2-J","4-SI3","2-F","EGL","3-G","3-G",2310,2
"97",1,"4-E","2-I2","5-X","GIA","3-G","3-G",2316,2
"98",1.01,"3-H","3-I1","5-X","EGL","4-V","5-X",2321,2
"99",1.09,"3-G","2-I2","5-X","GIA","3-G","3-G",2330,2
"100",1.02,"2-K","4-SI3","4-V","EGL","3-G","3-G",2333,2
"101",1.05,"4-F","2-I2","3-G","GIA","2-F","2-F",2338,2
"102",1.1,"3-G","2-I2","5-X","GIA","4-V","4-V",2351,2
"103",1,"4-F","3-I1","3-G","EGL","3-G","3-G",2359,2
"104",1.06,"4-F","2-I2","3-G","GIA","3-G","4-V",2360,2
"105",1.01,"3-G","3-I1","3-G","EGL","4-V","4-V",2363,2
"106",1.01,"3-G","3-I1","6-I","EGL","4-V","4-V",2363,2
"107",1,"3-I","3-I1","2-F","EGL","3-G","3-G",2364,2
"108",1.03,"3-H","3-I1","6-I","EGL","4-V","4-V",2367,2
"109",1.15,"2-J","3-I1","2-F","EGL","3-G","3-G",2368,2
"110",1,"2-K","5-SI2","5-X","EGL","3-G","3-G",2380,2
"111",1,"2-K","5-SI2","2-F","EGL","3-G","2-F",2380,2
"112",1.01,"4-F","3-I1","5-X","EGL","3-G","4-V",2382,2
"113",1.07,"1-L","4-SI3","5-X","EGL","3-G","3-G",2386,2
